,French,English
0,histoire,history
1,chercher,search
2,police,police
3,aide,help
4,genre,kind
5,frère,brother
6,laisser,let
7,car,because
8,aucun,no
9,devrait,should
10,revoir,meet again
11,compris,understood
12,savais,knew
13,voici,here is
14,donner,give
15,type,type
16,leurs,their
17,corps,body
18,yeux,eyes
19,façon,way
20,dont,whose
21,perdu,lost
22,main,hand
23,pouvoir,power
24,pardon,sorry
25,venez,come
26,vers,towards
27,mis,placed
28,mari,husband
29,parti,left
30,boulot,job
31,dirait,would say
32,terre,Earth
33,croire,believe
34,chérie,sweetheart
35,gros,large
36,aura,will have
37,jouer,to play
38,bureau,office
